Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C2, C28, C5",0201,4,0.1μF,
"C10, C11, C12, C13, C14, C15, C16, C17, C18, C19, C20, C21, C22, C23, C24, C25, C3, C6, C7, C8, C9",0201,21,10nF,
"C26, C27",0603,2,10μF,
C4,0201,1,2.2μF,
J1,PinSocket_1x22_P2.54mm_Vertical,1,ESP32_Connector_0,
J2,PinSocket_1x22_P2.54mm_Vertical,1,ESP32_Connector_1,
J3,CONN_D25P_AMP,1,D25P13A4GV00LF,
"R1, R2, R23, R24, R25",0201,5,10k,
"R10, R11, R12, R13, R14, R15, R16, R17, R18, R19, R20, R21, R22, R3, R4, R5, R6, R7, R8, R9",0201,20,1k,
U1,IC_HT7333,1,HT7333,
U2,SOP50P490X110-10N,1,ADS1015IDGSR,
U3,PQFN50P300X250X97-14N,1,ICM-42688-P,
U4,DFN-8-1EP_3x3mm_P0.65mm_EP1.55x2.4mm,1,TJA1051TK-3,
