Designator,Mid X,Mid Y,Rotation,Layer
C10,77.55,-56.445,90.0,top
C11,79.35,-56.465,90.0,top
C12,81.1,-56.465,90.0,top
C13,79.345,-58.175,270.0,top
C14,77.595,-58.175,270.0,top
C15,75.845,-58.165,270.0,top
C16,74.05,-58.145,270.0,top
C17,72.3,-58.145,270.0,top
C18,70.55,-58.145,270.0,top
C19,70.575,-62.445,90.0,top
C20,72.325,-62.445,90.0,top
C21,74.05,-62.465,90.0,top
C22,75.8,-62.465,90.0,top
C23,77.55,-62.465,90.0,top
C24,79.3,-62.475,90.0,top
C25,81.05,-62.475,90.0,top
C6,70.55,-56.445,90.0,top
C7,72.3,-56.445,90.0,top
C8,74.05,-56.445,90.0,top
C9,75.8,-56.445,90.0,top
R10,80.195,-59.365,0.0,top
R11,78.445,-59.365,0.0,top
R12,76.645,-59.365,0.0,top
R13,74.95,-59.345,0.0,top
R14,73.15,-59.345,0.0,top
R15,71.4,-59.345,0.0,top
R16,69.85,-61.325,180.0,top
R17,71.55,-61.325,180.0,top
R18,73.2,-61.265,180.0,top
R19,74.905,-61.265,180.0,top
R20,76.705,-61.265,180.0,top
R21,78.48,-61.265,180.0,top
R22,80.25,-61.265,180.0,top
R3,69.65,-55.345,180.0,top
R4,71.4,-55.345,180.0,top
R5,73.17,-55.345,180.0,top
R6,74.9,-55.345,180.0,top
R7,76.65,-55.345,180.0,top
R8,78.45,-55.365,180.0,top
R9,80.25,-55.365,180.0,top
U3,96.5,-60.0,0.0,top
